mode,order,stop,rr,lo,n_tr,sr_tr,net_tr,n_te,sr_te,net_te,hit_te
bos,5,2.0,1.5,True,1347,-0.6960884466588751,-35.56631996536842,626,0.6795565021186292,25.049202511409845,46.96485623003195
bos,5,2.0,1.5,False,2431,-0.960330002273167,-56.36659181851949,1070,-0.15956581408853004,-11.855305468100212,43.45794392523364
bos,5,2.0,2.0,True,1212,-0.47071641336900616,-27.11234954218895,550,0.9518129882892898,38.66451195615727,44.90909090909091
bos,5,2.0,2.0,False,2187,-0.772646552943774,-49.85363606368318,948,0.04715834313152439,-1.5750639284503194,40.29535864978903
bos,5,2.0,3.0,True,1089,-0.10089510931484708,-8.607065799454944,495,0.8576906085751276,34.37230468550766,42.62626262626263
bos,5,2.0,3.0,False,1985,-0.40129733920881405,-32.666877636524234,872,0.14601305176246426,3.6159500117146877,38.53211009174312
sr_bounce,3,1.0,1.0,True,3777,-3.1239004055750077,-77.45503145000546,1470,-1.6874020665721288,-37.97323152264853,50.61224489795918
sr_bounce,3,1.0,1.0,False,6643,-4.300989888208956,-93.04018544653916,2818,-3.733331078158782,-74.14577193242391,47.69339957416607
sr_bounce,3,1.0,1.5,True,3513,-2.653940658449573,-77.32522832596528,1364,-0.6054124105817623,-19.601854367593134,42.22873900293255
sr_bounce,3,1.0,1.5,False,5695,-3.1360116212121416,-89.20311253767737,2456,-2.3229819397210503,-62.73440313657303,39.25081433224756
sr_bounce,3,1.0,2.0,True,3312,-1.9995804047700183,-71.03629491535278,1290,-0.329213779953406,-13.285847804477484,36.58914728682171
sr_bounce,3,1.0,2.0,False,5047,-2.4396181182014964,-84.57508721105157,2187,-2.0816185493782537,-61.65945075446175,32.73891175125743
sr_bounce,3,1.0,3.0,True,3148,-1.7114299108477284,-69.9192901467485,1214,0.18173934171197548,5.2506478510097025,31.054365733113677
sr_bounce,3,1.0,3.0,False,4295,-1.8547566454972892,-78.63972656474975,1873,-1.0329857097110242,-42.94714919821978,27.442605445808866
sr_bounce,3,1.5,1.0,True,2910,-2.0855223171327797,-72.50568133556044,1158,-0.4090123588643884,-15.617738877473656,52.50431778929189
sr_bounce,3,1.5,1.0,False,4606,-2.048475809927573,-79.83521396763796,2017,-2.164695872086872,-64.14556358957505,48.04164600892415
sr_bounce,3,1.5,1.5,True,2669,-1.690621560000311,-69.52232076022806,1055,0.045775018584428936,-0.7361527052473633,44.2654028436019
sr_bounce,3,1.5,1.5,False,3866,-1.3941442393095198,-70.28890747233459,1668,-1.8540986381004045,-62.04786109408147,38.489208633093526
sr_bounce,3,1.5,2.0,True,2559,-1.431772797532748,-66.10305291064205,1013,0.18583560089005813,5.594641405398377,40.07897334649556
sr_bounce,3,1.5,2.0,False,3444,-0.8892513418338309,-56.153075254539885,1497,-0.9184170062879995,-41.63591018703102,35.73814295257181
sr_bounce,3,1.5,3.0,True,2472,-1.0588900595616053,-58.55425873113267,977,0.5408258617271295,26.10380784810316,37.35926305015353
sr_bounce,3,1.5,3.0,False,3104,-0.3754482832602593,-32.788360322351366,1359,-0.3591330653521349,-22.408706029347343,32.9654157468727
sr_bounce,3,2.0,1.0,True,2343,-1.1193443738160653,-55.81811174308919,949,-0.06757748519856532,-5.68889865550743,53.0031612223393
sr_bounce,3,2.0,1.0,False,3485,-1.1785201559965741,-65.13084032885402,1507,-1.7304153346154525,-61.282384925047225,47.44525547445255
sr_bounce,3,2.0,1.5,True,2196,-0.9773303631278754,-54.21470588626847,878,0.3273777473059942,13.296489143205136,47.722095671981776
sr_bounce,3,2.0,1.5,False,2990,-0.7449460690047078,-51.67535819925844,1281,-0.8451585275281682,-40.716301108083755,42.54488680718189
sr_bounce,3,2.0,2.0,True,2139,-0.8543089175699425,-51.66453156493721,860,0.4863496278025212,23.173301849940202,45.58139534883721
sr_bounce,3,2.0,2.0,False,2779,-0.7555690879193765,-52.74642373183036,1193,-0.6645407895903842,-34.9249116222102,40.067057837384745
sr_bounce,3,2.0,3.0,True,2090,-0.6802084346446509,-46.50343754526607,844,0.8212568231846652,48.63991480702771,44.78672985781991
sr_bounce,3,2.0,3.0,False,2602,-0.673724769166352,-50.186874492666284,1119,-0.685447115298186,-36.88708657397045,37.622877569258264
sr_bounce,5,1.0,1.0,True,2909,-2.719229555239722,-68.91787339044166,1174,-1.7753104145488823,-37.60415561456215,49.57410562180579
sr_bounce,5,1.0,1.0,False,5704,-3.8953638911884867,-89.72448592629722,2478,-3.4878676500457053,-70.14707820227092,47.65940274414851
sr_bounce,5,1.0,1.5,True,2706,-1.894881668258615,-61.62003448230611,1082,-0.9638952392069949,-26.686987585492744,40.75785582255083
sr_bounce,5,1.0,1.5,False,5060,-2.7877392250027166,-84.85893065267243,2204,-2.3980739064830447,-62.14289499798215,38.65698729582577
sr_bounce,5,1.0,2.0,True,2579,-1.4471647861535148,-55.63496415649808,1037,-0.9414186990186267,-28.913486813008845,34.81195756991321
sr_bounce,5,1.0,2.0,False,4587,-2.2777561809746745,-81.26084709026564,2017,-2.2906625180327724,-63.831541977267925,32.47397124442241
sr_bounce,5,1.0,3.0,True,2490,-1.4709563183885503,-60.51610511433494,1000,-0.5822399763253627,-22.343581192707035,29.4
sr_bounce,5,1.0,3.0,False,4020,-1.8554678291342952,-77.64734279436556,1775,-1.6694775533717245,-56.95301133246849,26.704225352112676
sr_bounce,5,1.5,1.0,True,2280,-1.4836989663975257,-56.41971900012198,913,-0.9636505275338412,-29.063305601344112,50.492880613362544
sr_bounce,5,1.5,1.0,False,4156,-2.0983841543011836,-79.23318706556614,1809,-2.329291441013203,-65.0306371802537,47.54007739082366
sr_bounce,5,1.5,1.5,True,2121,-1.252551538831703,-55.02867294812614,852,-0.5388799141190992,-21.107870591713848,42.370892018779344
sr_bounce,5,1.5,1.5,False,3616,-1.7684528583194492,-76.88082480303576,1577,-2.0074331539471557,-63.98890460187539,38.36398224476854
sr_bounce,5,1.5,2.0,True,2067,-1.0571589612784997,-52.023256460928486,829,-0.4855050916350193,-20.797611847739546,38.23884197828709
sr_bounce,5,1.5,2.0,False,3292,-1.327327257596322,-68.89992228873027,1436,-1.597967634538096,-58.156453951148194,34.88857938718663
sr_bounce,5,1.5,3.0,True,2034,-0.822785476716054,-46.94963852356994,815,-0.2755678805459361,-14.449534629444798,35.4601226993865
sr_bounce,5,1.5,3.0,False,2996,-0.7580641929236193,-51.56179297891795,1311,-0.7912057015714542,-38.476389693698266,33.10450038138825
sr_bounce,5,2.0,1.0,True,1893,-0.9091386521047451,-45.38070733500573,759,-0.6961372540403754,-26.719888618881058,50.59288537549407
sr_bounce,5,2.0,1.0,False,3254,-1.3094691365526585,-67.63988739854707,1394,-2.101632126323176,-67.20847210198241,46.48493543758967
sr_bounce,5,2.0,1.5,True,1805,-0.9479869661824895,-49.877142088548034,720,-0.33564568706451187,-16.584767647373482,45.416666666666664
sr_bounce,5,2.0,1.5,False,2843,-1.106302164603456,-64.06699641480168,1236,-1.5124911011254303,-58.44994633507797,40.85760517799353
sr_bounce,5,2.0,2.0,True,1779,-0.7339548643007174,-43.97901282146675,710,-0.08441130576448641,-6.97466628255124,43.94366197183099
sr_bounce,5,2.0,2.0,False,2663,-1.0415240390978895,-62.806758942893715,1160,-1.0937948903836496,-48.619905982368,39.741379310344826
sr_bounce,5,2.0,3.0,True,1760,-0.6179073757173871,-40.90996841439916,706,0.007833553377502625,-3.104067282632826,42.492917847025495
sr_bounce,5,2.0,3.0,False,2483,-0.8114435891990658,-55.08557644090039,1080,-0.886203518318416,-43.07062252894775,38.333333333333336
