book,k,sr,dd,h1,h2,worst
US100+US30+BRENT,3,0.5047190627477779,-9.732865783433597,0.6833994743684252,0.3197556359105754,0.3197556359105754
XAGUSD+US100+US30+BRENT+BTCUSD,5,0.5042469759757258,-8.818075730305242,0.7699735426250693,0.25145582127077837,0.25145582127077837
US500+US30+BRENT+BTCUSD,4,0.5034301587070955,-11.577555420740449,0.8663992640350398,0.13153142589264807,0.13153142589264807
US500+GER30+BRENT+BTCUSD,4,0.49377984452642576,-11.747215521954125,0.715737650748114,0.2763434025448199,0.2763434025448199
XAGUSD+US100+US500+BRENT+BTCUSD,5,0.493213682006398,-9.725512324441121,0.8050224305493981,0.20362321318837517,0.20362321318837517
US100+US500+BRENT,3,0.48981581881152936,-13.808381195355624,0.7674839812398602,0.21759893061257216,0.21759893061257216
XAGUSD+US100+BRENT,3,0.48897014722533205,-9.75306856864604,0.4505498729977916,0.5224798977145105,0.4505498729977916
US30+GER30+BRENT+BTCUSD,4,0.487993024875608,-10.65491096979434,0.6449268532328216,0.331973904960329,0.331973904960329
XAGUSD+US100+GER30+BRENT+BTCUSD,5,0.48002855067357125,-9.02396002860254,0.5929634103284748,0.3776580700930146,0.3776580700930146
US100+US30+GER30+BRENT+BTCUSD,5,0.4743392766074516,-10.049103759061495,0.6879995065611894,0.2663749899440827,0.2663749899440827
XAGUSD+US500+US30+BRENT+BTCUSD,5,0.4717477193359244,-9.993489137436395,0.7337469834019801,0.22054407744263668,0.22054407744263668
US100+US500+US30+BRENT+BTCUSD,5,0.4692550541764446,-11.31504111055005,0.8413735660111691,0.10212975998688681,0.10212975998688681
XAGUSD+GER30+BRENT+BTCUSD,4,0.4673839617543212,-9.659818516049501,0.49097550416009506,0.44565996870773256,0.44565996870773256
US100+US500+GER30+BRENT+BTCUSD,5,0.4637595276178899,-11.160210651097923,0.7256809179379734,0.2157385868199254,0.2157385868199254
XAGUSD+US100+US500+BRENT,4,0.45949100310700147,-10.837200326126794,0.5812417752271312,0.3484746269962046,0.3484746269962046
XAGUSD+US500+GER30+BRENT+BTCUSD,5,0.4590968256329332,-10.184747026297536,0.5821921811501652,0.3463450351445307,0.3463450351445307
XAGUSD+US100+US30+BRENT,4,0.4590606975227306,-8.333687880132501,0.4793979808936189,0.4401139004745219,0.4401139004745219
XAGUSD+US500+BRENT,3,0.4588639671741088,-10.038070381878384,0.4527813249066827,0.46421866273802875,0.4527813249066827
XAGUSD+US30+GER30+BRENT+BTCUSD,5,0.45017520141570655,-9.537556821524218,0.5092750987991528,0.3956335685310492,0.3956335685310492
XAGUSD+US100+BTCUSD,3,0.446920929792917,-14.348618094334675,0.7871564920773627,0.13233610555311986,0.13233610555311986
US500+US30+BRENT,3,0.445966396723749,-11.679521468225651,0.6322162150933989,0.2520957791873504,0.2520957791873504
US100+US30+BTCUSD,3,0.44484888760747354,-15.7613561886364,0.9195209519796878,-0.009348334339509547,-0.009348334339509547
US500+US30+GER30+BRENT+BTCUSD,5,0.4421987929731153,-11.193630607632187,0.6545758265988588,0.23376620990917263,0.23376620990917263
US100+GER30+BRENT,3,0.4414713549516746,-10.514088563774337,0.30276776907801567,0.5708628539669129,0.30276776907801567
US100+US500+US30+BRENT,4,0.43618966959124517,-11.453834232542349,0.6889601060583038,0.18250201480561298,0.18250201480561298
US100+US500+BTCUSD,3,0.43086517279850844,-19.629621360749717,0.9384084449521519,-0.03679408612911462,-0.03679408612911462
XAGUSD+US500+BTCUSD,3,0.4253232331870765,-14.647278592199498,0.7742561116938623,0.10484767769109778,0.10484767769109778
XAGUSD+US30+BRENT,3,0.42371104674408,-8.99295020833366,0.276142314498975,0.5573107252666107,0.276142314498975
XAGUSD+US100+US500+US30+BRENT,5,0.42347746343452713,-9.414199419691837,0.5565849149112746,0.297786394677025,0.297786394677025
XAGUSD+US500+US30+BRENT,4,0.4193439878220357,-9.816406484204897,0.4605088416691285,0.3803277303700887,0.3803277303700887
XAGUSD+US100+US30+BTCUSD,4,0.4140929037179796,-13.118515903535698,0.7441541154694309,0.11636964215577711,0.11636964215577711
US100+GER30+BTCUSD,3,0.4103054070270691,-14.951281902499902,0.6920208842854576,0.15056261523761055,0.15056261523761055
XAGUSD+US30+BTCUSD,3,0.40902260526356976,-17.04366630700487,0.6889417494994741,0.1488104967358986,0.1488104967358986
XAGUSD+US100+US500+BTCUSD,4,0.40830762536672865,-12.489546142371854,0.7815937424813953,0.07870368783463463,0.07870368783463463
US100+US500+GER30+BRENT,4,0.4071721543467676,-10.929918746574852,0.45596871770361724,0.3612738463326025,0.3612738463326025
US500+GER30+BRENT,3,0.4063526589827304,-11.967122290495357,0.31087942200237834,0.49905974034680733,0.31087942200237834
US100+US30+GER30+BRENT,4,0.40575898971270136,-9.80746175501367,0.3497263691002593,0.46145081287067646,0.3497263691002593
US500+US30+BTCUSD,3,0.40544207052708237,-15.997340711721275,0.8563284496690866,-0.026879426231004845,-0.026879426231004845
XAGUSD+US100+GER30+BRENT,4,0.40156716727714814,-8.583810243326495,0.12692431782267427,0.6334323814400612,0.12692431782267427
XAGUSD+US100+US500+GER30+BRENT,5,0.3935483361675507,-9.59416002087573,0.3253279847433147,0.4536280386702498,0.3253279847433147
US500+GER30+BTCUSD,3,0.3870476961745233,-15.467626516305067,0.6739648066505949,0.12179254068544403,0.12179254068544403
