open_date,close_date,symbol,action,lots,sl,tp,open_price,close_price,pips,profit,duration,change,change_pct,dur_s,sl_dist,tp_dist,move
2025-12-05 09:10:00,2025-12-05 09:10:00,XAUUSD,Buy,0.1,4226.89,4239.29,4229.33,4230.12,79.0,7.9,26s,0.13%,0.13,26.0,2.4399999999996,9.960000000000036,0.7899999999999636
2025-12-08 04:54:00,2025-12-08 04:55:00,XAUUSD,Buy,0.1,4209.33,4221.73,4211.75,4211.21,-54.0,-5.4,23s,-0.09%,-0.09,23.0,2.4200000000000728,9.979999999999563,-0.5399999999999636
2025-12-08 07:33:00,2025-12-08 07:33:00,XAUUSD,Buy,0.1,4210.85,4223.25,4213.32,4214.67,135.0,13.5,25s,0.23%,0.23,25.0,2.469999999999345,9.930000000000291,1.3500000000003638
2025-12-08 10:00:00,2025-12-08 10:01:00,XAUUSD,Sell,0.1,4207.07,4194.67,4204.64,4203.58,106.0,10.6,18s,0.18%,0.18,18.0,2.4299999999993815,9.970000000000255,1.0600000000004002
2025-12-08 12:31:00,2025-12-08 12:31:00,XAUUSD,Sell,0.1,4205.57,4193.17,4203.09,4201.38,171.0,17.1,25s,0.29%,0.29,25.0,2.4799999999995634,9.920000000000073,1.7100000000000364
2025-12-08 14:03:00,2025-12-08 14:03:00,XAUUSD,Buy,0.1,4210.32,4222.72,4212.78,4212.39,-39.0,-3.9,4s,-0.07%,-0.07,4.0,2.4600000000000364,9.94000000000051,-0.3899999999994179
2025-12-08 14:51:00,2025-12-08 14:52:00,XAUUSD,Buy,0.1,4211.5,4223.9,4214.01,4215.27,126.0,12.6,35s,0.21%,0.21,35.0,2.5100000000002183,9.889999999999418,1.2600000000002183
2025-12-08 15:51:00,2025-12-08 15:51:00,XAUUSD,Sell,0.1,4201.97,4189.57,4199.56,4198.71,85.0,8.5,5s,0.14%,0.14,5.0,2.4099999999998545,9.990000000000691,0.8500000000003638
2025-12-09 03:03:00,2025-12-09 03:03:00,XAUUSD,Buy,0.1,4193.24,4205.64,4195.67,4196.14,47.0,4.7,26s,0.08%,0.08,26.0,2.430000000000291,9.970000000000255,0.47000000000025466
2025-12-09 03:30:00,2025-12-09 03:31:00,XAUUSD,Buy,0.1,4193.08,4205.48,4195.5,4195.54,4.0,0.4,21s,0.01%,0.01,21.0,2.4200000000000728,9.979999999999563,0.03999999999996362
2025-12-09 04:04:00,2025-12-09 04:04:00,XAUUSD,Buy,0.1,4194.82,4207.22,4197.22,4196.85,-37.0,-3.7,3s,-0.06%,-0.06,3.0,2.4000000000005457,10.0,-0.36999999999989086
2025-12-09 06:54:00,2025-12-09 06:55:00,XAUUSD,Sell,0.1,4188.4,4176.0,4186.0,4185.03,97.0,9.7,27s,0.16%,0.16,27.0,2.399999999999636,10.0,0.9700000000002547
2025-12-09 10:01:00,2025-12-09 10:02:00,XAUUSD,Buy,0.1,4183.42,4195.82,4185.83,4185.53,-30.0,-3.0,41s,-0.05%,-0.05,41.0,2.4099999999998545,9.989999999999782,-0.3000000000001819
2025-12-09 11:05:00,2025-12-09 11:05:00,XAUUSD,Buy,0.1,4196.37,4208.77,4198.82,4202.97,415.0,41.5,39s,0.69%,0.69,39.0,2.449999999999818,9.950000000000728,4.150000000000546
2025-12-09 14:49:00,2025-12-09 14:50:00,XAUUSD,Buy,0.1,4204.12,4216.52,4206.52,4206.15,-37.0,-3.7,28s,-0.06%,-0.06,28.0,2.4000000000005457,10.0,-0.37000000000080036
2025-12-09 15:27:00,2025-12-09 15:27:00,XAUUSD,Sell,0.1,4201.01,4188.61,4198.61,4198.91,-30.0,-3.0,2s,-0.05%,-0.05,2.0,2.4000000000005457,10.0,-0.3000000000001819
2025-12-09 16:51:00,2025-12-09 16:51:00,XAUUSD,Buy,0.1,4205.59,4217.99,4208.06,4207.85,-21.0,-2.1,3s,-0.03%,-0.03,3.0,2.4700000000002547,9.929999999999382,-0.21000000000003638
2025-12-09 17:29:00,2025-12-09 17:29:00,XAUUSD,Buy,0.1,4205.59,4217.99,4208.16,4208.16,0.0,0.0,16s,0.00%,0.0,16.0,2.569999999999709,9.829999999999927,0.0
2025-12-09 17:58:00,2025-12-09 17:58:00,XAUUSD,Buy,0.1,4207.67,4220.07,4210.11,4211.55,144.0,14.4,28s,0.24%,0.24,28.0,2.4399999999996,9.960000000000036,1.4400000000005093
2025-12-10 03:00:00,2025-12-10 03:00:00,XAUUSD,Sell,0.1,4209.49,4197.09,4207.07,4207.49,-42.0,-4.2,2s,-0.07%,-0.07,2.0,2.4200000000000728,9.979999999999563,-0.42000000000007276
2025-12-10 04:43:00,2025-12-10 04:43:00,XAUUSD,Buy,0.1,4215.66,4228.06,4218.09,4218.36,27.0,2.7,8s,0.04%,0.04,8.0,2.430000000000291,9.970000000000255,0.26999999999952706
2025-12-10 05:40:00,2025-12-10 05:40:00,XAUUSD,Sell,0.1,4209.35,4196.95,4206.88,4207.07,-19.0,-1.9,5s,-0.03%,-0.03,5.0,2.4700000000002547,9.930000000000291,-0.18999999999959982
2025-12-10 07:12:00,2025-12-10 07:12:00,XAUUSD,Sell,0.1,4206.19,4193.79,4203.79,4203.79,0.0,0.0,14s,0.00%,0.0,14.0,2.399999999999636,10.0,-0.0
2025-12-10 09:59:00,2025-12-10 10:00:00,XAUUSD,Sell,0.1,4205.62,4193.22,4203.2,4202.66,54.0,5.4,32s,0.09%,0.09,32.0,2.4200000000000728,9.979999999999563,0.5399999999999636
2025-12-10 10:10:00,2025-12-10 10:10:00,XAUUSD,Sell,0.1,4204.21,4191.81,4201.75,4200.5,125.0,12.5,27s,0.21%,0.21,27.0,2.4600000000000364,9.9399999999996,1.25
2025-12-10 15:44:00,2025-12-10 15:45:00,XAUUSD,Buy,0.1,4199.9,4212.3,4202.3,4202.46,16.0,1.6,22s,0.03%,0.03,22.0,2.4000000000005457,10.0,0.15999999999985448
2025-12-10 16:01:00,2025-12-10 16:01:00,XAUUSD,Buy,0.1,4199.9,4212.3,4202.44,4202.12,-32.0,-3.2,1s,-0.05%,-0.05,1.0,2.5399999999999636,9.860000000000582,-0.31999999999970896
2025-12-11 03:02:00,2025-12-11 03:02:00,XAUUSD,Buy,0.1,4242.8,4255.2,4245.2,4245.38,18.0,1.8,8s,0.03%,0.03,8.0,2.399999999999636,10.0,0.18000000000029104
2025-12-11 03:44:00,2025-12-11 03:44:00,XAUUSD,Buy,0.1,4236.28,4248.68,4238.68,4238.46,-22.0,-2.2,6s,-0.04%,-0.04,6.0,2.4000000000005457,10.0,-0.22000000000025466
2025-12-11 06:47:00,2025-12-11 06:47:00,XAUUSD,Sell,0.1,4211.83,4199.43,4209.43,4209.14,29.0,2.9,20s,0.05%,0.05,20.0,2.399999999999636,10.0,0.2899999999999636
