open_date,close_date,symbol,action,lots,sl,tp,open_price,close_price,pips,profit,duration,change,change_pct,dur_s,sl_dist,tp_dist,move,sgn,bar_lo,bar_hi,win_lo,win_hi,bar_range,win_range,avail,mom_1bar,entry_vs_prev
2026-01-22 16:32:00,2026-01-22 16:33:00,XAUUSD,Buy,0.1,4832.82,4845.22,4835.23,4841.1,587.0,58.7,46s,0.71%,0.71,46.0,2.4099999999998545,9.990000000000691,5.8700000000008,1.0,4873.0650000000005,4884.715,4873.0650000000005,4885.235,11.649999999999636,12.169999999999163,50.00500000000011,2.2830000000003565,-40.51800000000094
2026-01-23 09:45:00,2026-01-23 09:45:00,XAUUSD,Sell,0.1,4947.99,4935.59,4945.45,4945.69,-24.0,-2.4,2s,-0.03%,-0.03,2.0,2.539999999999964,9.859999999999673,-0.23999999999978172,-1.0,4914.3150000000005,4921.225,4914.3150000000005,4922.585,6.9099999999998545,8.269999999999527,31.13499999999931,-11.399999999999636,-28.704999999999927
2026-01-23 11:29:00,2026-01-23 11:29:00,XAUUSD,Sell,0.1,4903.76,4891.36,4901.36,4900.74,62.0,6.2,4s,0.07%,0.07,4.0,2.4000000000005457,10.0,0.6199999999998909,-1.0,4911.625,4921.705,4911.625,4924.955,10.079999999999927,13.329999999999927,-10.265000000000327,11.430000000000291,16.845000000000255
2026-01-26 06:32:00,2026-01-26 06:32:00,XAUUSD,Sell,0.1,5072.43,5060.03,5070.03,5064.71,532.0,53.2,22s,0.64%,0.64,22.0,2.4000000000005457,10.0,5.319999999999709,-1.0,5074.5650000000005,5092.505,5074.5650000000005,5110.885,17.9399999999996,36.31999999999971,-4.535000000000764,-5.899999999999636,5.015000000000327
2026-01-26 08:45:00,2026-01-26 08:45:00,XAUUSD,Buy,0.1,5090.65,5103.05,5093.05,5099.34,629.0,62.9,41s,0.75%,0.75,41.0,2.4000000000005457,10.0,6.289999999999964,1.0,5080.0,5093.835,5080.0,5093.835,13.835000000000036,13.835000000000036,0.7849999999998545,-3.25,-0.2650000000003274
2026-01-26 11:32:00,2026-01-26 11:32:00,XAUUSD,Buy,0.1,5095.87,5108.27,5098.27,5098.28,1.0,0.1,3s,0.00%,0.0,3.0,2.4000000000005457,10.0,0.009999999999308784,1.0,5083.495,5092.365,5083.495,5092.455,8.86999999999989,8.960000000000036,-5.815000000000509,-0.5399999999999636,11.095000000000255
2026-01-26 14:56:00,2026-01-26 14:56:00,XAUUSD,Sell,0.1,5080.95,5068.55,5078.55,5077.36,119.0,11.9,4s,0.14%,0.14,4.0,2.399999999999636,10.0,1.1900000000005093,-1.0,5080.3150000000005,5096.805,5080.3150000000005,5097.215,16.48999999999978,16.899999999999636,-1.7650000000003274,-3.449999999999818,3.125
2026-01-26 15:00:00,2026-01-26 15:00:00,XAUUSD,Sell,0.1,5080.95,5068.55,5078.54,5075.35,319.0,31.9,22s,0.38%,0.38,22.0,2.4099999999998545,9.989999999999782,3.1899999999996,-1.0,5085.375,5097.215,5084.0650000000005,5097.215,11.840000000000146,13.149999999999636,-5.525000000000546,-14.222999999999956,17.358000000000175
2026-01-26 16:58:00,2026-01-26 16:58:00,XAUUSD,Buy,0.1,5094.61,5107.01,5097.01,5096.81,-20.0,-2.0,2s,-0.02%,-0.02,2.0,2.4000000000005457,10.0,-0.1999999999998181,1.0,5076.435,5094.075,5076.435,5097.3150000000005,17.639999999999418,20.88000000000011,0.30500000000029104,1.5799999999999272,20.06500000000051
2026-01-26 18:03:00,2026-01-26 18:03:00,XAUUSD,Buy,0.1,5094.94,5107.34,5097.36,5099.75,239.0,23.9,19s,0.28%,0.28,19.0,2.4200000000000728,9.980000000000471,2.3900000000003274,1.0,5076.225,5103.1050000000005,5076.225,5103.1050000000005,26.88000000000011,26.88000000000011,5.7450000000008,-1.2799999999997453,-3.4450000000006185
2026-01-27 03:11:00,2026-01-27 03:12:00,XAUUSD,Buy,0.1,5059.14,5071.54,5061.54,5062.69,115.0,11.5,21s,0.13%,0.13,21.0,2.399999999999636,10.0,1.1499999999996362,1.0,5063.435,5073.675,5060.005,5073.675,10.239999999999782,13.670000000000073,12.135000000000218,-6.529999999999745,-10.775000000000546
2026-01-27 04:40:00,2026-01-27 04:41:00,XAUUSD,Buy,0.1,5073.59,5085.99,5075.99,5076.25,26.0,2.6,21s,0.03%,0.03,21.0,2.399999999999636,10.0,0.2600000000002183,1.0,5061.325,5075.1050000000005,5061.325,5075.1050000000005,13.780000000000655,13.780000000000655,-0.8849999999993088,5.360000000000582,1.3449999999993452
2026-01-27 07:47:00,2026-01-27 07:47:00,XAUUSD,Buy,0.1,5077.39,5089.79,5079.81,5081.38,157.0,15.7,14s,0.18%,0.18,14.0,2.4200000000000728,9.979999999999563,1.569999999999709,1.0,5085.725,5096.285,5079.025000000001,5096.285,10.55999999999949,17.25999999999931,16.474999999999454,5.160000000000764,-13.045000000000073
2026-01-27 13:47:00,2026-01-27 13:47:00,XAUUSD,Sell,0.1,5084.3,5071.9,5081.88,5078.94,294.0,29.4,17s,0.34%,0.34,17.0,2.4200000000000728,9.980000000000471,2.9400000000005093,-1.0,5071.295,5081.945,5055.135,5081.945,10.649999999999636,26.80999999999949,26.74499999999989,7.449999999999818,-8.604999999999563
2026-01-27 16:05:00,2026-01-27 16:06:00,XAUUSD,Sell,0.1,5069.37,5056.97,5066.94,5059.24,770.0,77.0,55s,0.89%,0.89,55.0,2.430000000000291,9.969999999999343,7.699999999999818,-1.0,5083.6050000000005,5098.448,5083.6050000000005,5103.075,14.842999999999847,19.469999999999345,-16.665000000000873,-10.390000000000327,23.835000000000946
2026-01-27 18:11:00,2026-01-27 18:11:00,XAUUSD,Buy,0.1,5090.52,5102.92,5092.93,5096.81,388.0,38.8,28s,0.45%,0.45,28.0,2.4099999999998545,9.989999999999782,3.880000000000109,1.0,5076.135,5087.0650000000005,5076.135,5088.705,10.930000000000291,12.569999999999709,-4.225000000000364,-0.569999999999709,11.925000000000182
2026-01-28 03:06:00,2026-01-28 03:06:00,XAUUSD,Buy,0.1,5188.06,5200.46,5190.47,5196.19,572.0,57.2,16s,0.66%,0.66,16.0,2.4099999999998545,9.989999999999782,5.719999999999345,1.0,5230.115,5247.475,5230.115,5247.475,17.360000000000582,17.360000000000582,57.00500000000011,10.640000000000327,-41.345000000000255
2026-01-28 04:32:00,2026-01-28 04:33:00,XAUUSD,Buy,0.1,5222.86,5235.26,5225.27,5229.51,424.0,42.4,47s,0.48%,0.48,47.0,2.410000000000764,9.989999999999782,4.239999999999782,1.0,5234.155,5241.335,5233.235,5248.755,7.180000000000291,15.520000000000437,23.484999999999673,2.582999999999629,-12.417999999999665
2026-01-28 06:58:00,2026-01-28 06:58:00,XAUUSD,Buy,0.1,5245.23,5257.63,5247.64,5248.69,105.0,10.5,15s,0.12%,0.12,15.0,2.410000000000764,9.989999999999782,1.0499999999992724,1.0,5256.825,5271.195,5256.825,5275.155,14.36999999999989,18.329999999999927,27.514999999999418,6.089999999999236,-13.844999999999345
2026-01-28 08:51:00,2026-01-28 08:51:00,XAUUSD,Buy,0.1,5264.09,5276.49,5266.5,5267.71,121.0,12.1,6s,0.14%,0.14,6.0,2.4099999999998545,9.989999999999782,1.2100000000000364,1.0,5280.385,5295.5650000000005,5279.935,5297.205,15.180000000000291,17.269999999999527,30.704999999999927,-9.470000000000255,-23.295000000000073
2026-01-28 13:04:00,2026-01-28 13:04:00,XAUUSD,Sell,0.1,5265.35,5252.95,5262.82,5252.86,996.0,99.6,12s,1.13%,1.13,12.0,2.530000000000655,9.86999999999989,9.960000000000036,-1.0,5268.665,5289.235,5268.665,5289.235,20.56999999999971,20.56999999999971,-5.845000000000255,-9.610000000000582,16.205000000000837
2026-01-28 17:00:00,2026-01-28 17:00:00,XAUUSD,Buy,0.1,5287.13,5299.53,5289.54,5294.89,535.0,53.5,19s,0.60%,0.6,19.0,2.4099999999998545,9.989999999999782,5.350000000000364,1.0,5292.298,5306.795,5288.685,5306.795,14.497000000000298,18.109999999999673,17.25500000000011,16.5600000000004,-10.105000000000473
2026-01-28 18:57:00,2026-01-28 18:57:00,XAUUSD,Buy,0.1,5295.89,5308.29,5298.29,5299.36,107.0,10.7,5s,0.12%,0.12,5.0,2.399999999999636,10.0,1.069999999999709,1.0,5271.195,5283.405,5269.165,5297.225,12.210000000000036,28.0600000000004,-1.0649999999995998,-31.6299999999992,24.974999999999454
2026-01-29 06:08:00,2026-01-29 06:08:00,XAUUSD,Buy,0.1,5549.41,5561.81,5551.83,5551.63,-20.0,-2.0,2s,-0.02%,-0.02,2.0,2.4200000000000728,9.980000000000471,-0.1999999999998181,1.0,5562.145,5588.215,5562.145,5595.275000000001,26.06999999999971,33.13000000000011,43.44500000000062,12.859999999999673,-10.465000000000146
2026-01-29 08:00:00,2026-01-29 08:00:00,XAUUSD,Buy,0.1,5562.15,5574.55,5564.59,5571.9,731.0,73.1,25s,0.81%,0.81,25.0,2.4400000000005093,9.960000000000036,7.309999999999491,1.0,5522.878,5554.585,5522.878,5554.585,31.707000000000335,31.707000000000335,-10.00500000000011,-0.1999999999998181,15.835000000000036
2026-01-29 10:04:00,2026-01-29 10:05:00,XAUUSD,Sell,0.1,5539.32,5526.92,5536.91,5532.52,439.0,43.9,19s,0.48%,0.48,19.0,2.4099999999998545,9.989999999999782,4.389999999999418,-1.0,5501.625,5523.955,5501.625,5525.295,22.329999999999927,23.670000000000073,35.284999999999854,10.75,-23.19499999999971
2026-01-29 10:39:00,2026-01-29 10:40:00,XAUUSD,Sell,0.1,5518.67,5506.27,5516.23,5511.14,509.0,50.9,39s,0.56%,0.56,39.0,2.4400000000005093,9.959999999999129,5.089999999999236,-1.0,5497.095,5510.055,5482.225,5510.055,12.960000000000036,27.829999999999927,34.0049999999992,13.300000000000182,-5.884999999999309
2026-01-29 13:03:00,2026-01-29 13:03:00,XAUUSD,Sell,0.1,5476.88,5464.48,5474.44,5473.48,96.0,9.6,8s,0.10%,0.1,8.0,2.4400000000005093,9.960000000000036,0.9600000000000364,-1.0,5513.435,5540.925,5507.965,5540.925,27.48999999999978,32.960000000000036,-33.525000000000546,-4.289999999999964,59.475000000000364
2026-01-29 16:27:00,2026-01-29 16:27:00,XAUUSD,Buy,0.1,5540.59,5552.99,5542.99,5548.96,597.0,59.7,16s,0.65%,0.65,16.0,2.399999999999636,10.0,5.970000000000255,1.0,5234.778,5296.415,5234.778,5310.8150000000005,61.636999999999716,76.03700000000026,-232.17499999999927,90.98700000000008,270.15499999999975
2026-01-29 16:46:00,2026-01-29 16:46:00,XAUUSD,Sell,0.1,5502.59,5490.19,5500.16,5499.91,25.0,2.5,1s,0.03%,0.03,1.0,2.430000000000291,9.970000000000256,0.25,-1.0,5227.305,5277.195,5227.305,5298.675,49.88999999999942,71.36999999999989,272.85499999999956,17.38000000000011,-228.21500000000015
2026-01-29 17:01:00,2026-01-29 17:01:00,XAUUSD,Sell,0.1,5473.22,5460.82,5470.76,5460.79,997.0,99.7,10s,1.08%,1.08,10.0,2.4600000000000364,9.94000000000051,9.970000000000255,-1.0,5263.715,5298.675,5263.715,5367.53,34.960000000000036,103.8149999999996,207.04500000000007,8.179999999999382,-206.9949999999999
2026-01-30 04:00:00,2026-01-30 04:00:00,XAUUSD,Sell,0.1,5285.13,5272.73,5282.64,5279.6,304.0,30.4,3s,0.33%,0.33,3.0,2.4899999999997817,9.910000000000764,3.0399999999999636,-1.0,5192.755,5225.0650000000005,5192.755,5229.995,32.3100000000004,37.23999999999978,89.88500000000022,-41.10999999999967,-87.22500000000036
